symbol,phase,hist_confirm,rsi_buy_max,rsi_sell_ob,stop_loss,take_profit,min_hold_bars,max_hold_bars,use_rvol,rvol_min,macd_fast,macd_slow,macd_sig,trades,wins,win_rate,profit_factor,sharpe,avg_win,avg_loss,wr_ratio,max_dd,max_cl,total_pnl,avg_hold,score
MOMENTUM,phase2 [seed 0],2,50,80,0.02,0.009999999999999998,2,10,True,3.0,8,21,9,34,33,97.1,50.0,5.158,0.994,-0.089,11.1,0.1,1,32.698,3.6,126.91
MOMENTUM,phase2 [seed 0],2,75,75,0.02,0.009999999999999998,2,10,True,3.0,8,21,9,81,80,98.8,50.0,2.702,0.832,-0.089,9.29,0.1,1,66.454,3.1,126.91
MOMENTUM,phase2 [seed 0],2,75,80,0.02,0.009999999999999998,3,10,True,3.0,8,21,9,81,80,98.8,50.0,4.473,0.931,-0.089,10.4,0.1,1,74.393,3.4,126.91
MOMENTUM,phase2 [seed 0],2,50,70,0.02,0.015,3,20,True,3.0,8,21,9,34,32,94.1,50.0,2.832,1.359,-0.266,5.12,0.4,1,42.971,5.3,126.56
MOMENTUM,phase2 [seed 0],2,60,0,0.025,0.02,2,10,True,3.0,8,21,9,47,45,95.7,50.0,2.301,1.517,-0.266,5.71,0.4,1,67.725,6.2,126.56
MOMENTUM,phase2 [seed 0],2,60,75,0.025,0.015,3,10,True,3.0,8,21,9,47,45,95.7,50.0,2.855,1.327,-0.266,5.0,0.4,1,59.182,5.2,126.56
MOMENTUM,phase2 [seed 0],2,60,75,0.025,0.025,3,20,True,3.0,8,21,9,47,44,93.6,50.0,2.029,1.551,-0.226,6.86,0.4,1,67.585,6.4,126.56
MOMENTUM,phase2 [seed 0],3,60,0,0.02,0.02,2,10,True,3.0,8,21,9,35,34,97.1,50.0,2.285,1.48,-0.442,3.35,0.4,1,49.885,5.7,126.56
MOMENTUM,phase2 [seed 0],3,60,70,0.02,0.015,3,20,True,3.0,8,21,9,35,34,97.1,50.0,2.528,1.188,-0.442,2.69,0.4,1,39.945,4.6,126.56
MOMENTUM,phase2 [seed 0],3,75,80,0.025,0.02,2,10,True,3.0,8,21,9,54,53,98.1,50.0,2.095,1.316,-0.442,2.98,0.4,1,69.287,4.9,126.56
MOMENTUM,phase2 [seed 0],1,75,75,0.025,0.009999999999999998,2,10,True,3.0,8,21,9,111,107,96.4,50.0,2.344,0.849,-0.286,2.97,0.6,1,89.747,3.2,126.39
MOMENTUM,phase2 [seed 0],3,65,70,0.02,0.009999999999999998,1,15,True,3.0,8,21,9,41,37,90.2,35.89,1.941,0.88,-0.227,3.88,0.4,1,31.649,2.8,126.0
MOMENTUM,phase2 [seed 0],3,65,0,0.02,0.025,3,10,True,3.0,8,21,9,41,39,95.1,50.0,1.936,1.599,-0.294,5.43,0.4,1,61.765,6.3,125.92
MOMENTUM,phase2 [seed 0],3,65,75,0.025,0.015,1,15,True,3.0,8,21,9,41,37,90.2,48.83,1.93,1.197,-0.227,5.28,0.4,1,43.386,4.1,125.89
MOMENTUM,phase2 [seed 0],3,65,80,0.02,0.025,3,10,True,3.0,8,21,9,41,39,95.1,50.0,1.923,1.524,-0.294,5.18,0.4,1,58.862,6.0,125.78
MOMENTUM,phase2 [seed 0],2,60,75,0.015,0.015,2,10,True,3.0,8,21,9,47,45,95.7,36.66,2.128,1.295,-0.795,1.63,1.5,1,56.689,5.0,125.5
MOMENTUM,phase2 [seed 0],3,60,80,0.015,0.009999999999999998,2,15,True,3.0,8,21,9,35,34,97.1,21.65,2.023,0.955,-1.5,0.64,1.5,1,30.972,3.5,125.5
MOMENTUM,phase2 [seed 0],3,70,0,0.015,0.015,2,10,True,3.0,8,21,9,48,47,97.9,40.49,2.437,1.292,-1.5,0.86,1.5,1,59.239,4.9,125.5
MOMENTUM,phase2 [seed 0],1,55,0,0.02,0.009999999999999998,3,10,True,3.0,8,21,9,53,51,96.2,24.1,2.096,0.987,-1.045,0.94,2.0,1,48.261,3.6,125.0
MOMENTUM,phase2 [seed 0],1,55,80,0.02,0.009999999999999998,3,10,True,3.0,8,21,9,53,51,96.2,24.1,2.096,0.987,-1.045,0.94,2.0,1,48.261,3.6,125.0
MOMENTUM,phase2 [seed 0],3,75,0,0.02,0.015,2,15,True,3.0,12,26,9,56,52,92.9,28.24,1.994,1.381,-0.636,2.17,2.0,1,69.278,5.1,124.94
MOMENTUM,validate [seed 0],4,75,75,0.025,0.009999999999999998,2,20,True,3.0,8,21,9,16,15,93.8,16.66,1.494,0.775,-0.698,1.11,0.7,1,10.929,2.4,0.0
MOMENTUM,validate [seed 0],1,50,0,0.025,0.009999999999999998,2,20,True,3.0,8,21,9,20,20,100.0,50.0,5.065,0.943,0.0,0.0,0.0,0,18.857,3.0,0.0
MOMENTUM,validate [seed 0],2,50,70,0.02,0.009999999999999998,3,15,True,3.0,8,21,9,14,14,100.0,50.0,4.213,0.918,0.0,0.0,0.0,0,12.857,2.8,0.0
MOMENTUM,validate [seed 0],2,50,70,0.025,0.009999999999999998,2,15,True,3.0,8,21,9,14,14,100.0,50.0,4.213,0.918,0.0,0.0,0.0,0,12.857,2.8,0.0
MOMENTUM,validate [seed 0],2,50,80,0.02,0.009999999999999998,2,10,True,3.0,8,21,9,14,14,100.0,50.0,4.213,0.918,0.0,0.0,0.0,0,12.857,2.8,0.0
MOMENTUM,baseline [seed 1],2,65,75,0.015,0.03,1,15,False,3.0,12,26,9,417,220,52.8,3.1,0.354,1.038,-0.374,2.78,4.3,6,154.747,4.7,64.02
MOMENTUM,phase1 [seed 1],3,70,0,0.02,0.015,1,15,True,3.0,12,26,9,43,35,81.4,28.4,1.474,1.287,-0.198,6.49,0.6,2,43.464,4.2,118.12
MOMENTUM,phase1 [seed 1],3,65,0,0.02,0.015,1,15,True,3.0,12,26,9,37,30,81.1,25.65,1.451,1.288,-0.215,5.99,0.6,2,37.132,4.3,117.89
MOMENTUM,phase1 [seed 1],3,65,75,0.02,0.015,1,15,True,3.0,12,26,9,37,30,81.1,25.18,1.436,1.264,-0.215,5.88,0.6,2,36.424,4.2,117.75
MOMENTUM,phase1 [seed 1],3,65,0,0.02,0.02,1,15,True,3.0,12,26,9,37,30,81.1,32.95,1.424,1.655,-0.215,7.69,0.6,2,48.132,5.3,117.63
MOMENTUM,phase1 [seed 1],3,70,0,0.02,0.02,1,15,True,3.0,12,26,9,43,35,81.4,35.44,1.383,1.606,-0.198,8.1,0.6,2,54.631,5.1,117.22
MOMENTUM,phase1 [seed 1],3,70,75,0.02,0.015,1,15,True,3.0,12,26,9,43,35,81.4,26.14,1.374,1.185,-0.198,5.98,0.6,2,39.877,3.9,117.12
MOMENTUM,phase1 [seed 1],3,65,75,0.02,0.02,1,15,True,3.0,12,26,9,37,30,81.1,30.27,1.369,1.52,-0.215,7.06,0.6,2,44.087,5.0,117.08
MOMENTUM,phase1 [seed 1],2,55,0,0.01,0.015,1,15,True,3.0,12,26,9,36,30,83.3,14.97,1.423,1.4,-0.468,2.99,1.3,2,39.181,4.8,116.97
MOMENTUM,phase1 [seed 1],2,55,0,0.015,0.015,1,15,True,3.0,12,26,9,36,30,83.3,16.77,1.447,1.4,-0.417,3.35,1.5,2,39.483,4.8,116.97
MOMENTUM,phase1 [seed 1],2,55,75,0.01,0.015,1,15,True,3.0,12,26,9,36,30,83.3,14.88,1.42,1.392,-0.468,2.98,1.3,2,38.949,4.7,116.94
MOMENTUM,phase1 [seed 1],2,55,75,0.015,0.015,1,15,True,3.0,12,26,9,36,30,83.3,16.68,1.443,1.392,-0.417,3.34,1.5,2,39.251,4.7,116.93
MOMENTUM,phase1 [seed 1],3,65,0,0.02,0.025,1,15,True,3.0,12,26,9,37,30,81.1,37.77,1.352,1.896,-0.215,8.81,0.6,2,55.387,5.9,116.9
MOMENTUM,phase1 [seed 1],3,65,70,0.02,0.015,1,15,True,3.0,12,26,9,37,30,81.1,22.04,1.307,1.107,-0.215,5.14,0.6,2,31.693,3.7,116.45
MOMENTUM,phase1 [seed 1],3,70,75,0.02,0.02,1,15,True,3.0,12,26,9,43,35,81.4,31.29,1.296,1.418,-0.198,7.15,0.6,2,48.04,4.6,116.34
MOMENTUM,phase1 [seed 1],3,65,0,0.02,0.03,1,15,True,3.0,12,26,9,37,30,81.1,39.61,1.282,1.989,-0.215,9.24,0.6,2,58.163,6.7,116.2
MOMENTUM,phase1 [seed 1],3,65,75,0.02,0.025,1,15,True,3.0,12,26,9,37,30,81.1,32.93,1.276,1.653,-0.215,7.68,0.6,2,48.09,5.3,116.14
MOMENTUM,phase1 [seed 1],2,55,70,0.01,0.015,1,15,True,3.0,12,26,9,36,30,83.3,13.74,1.336,1.285,-0.468,2.75,1.3,2,35.739,4.3,116.1
MOMENTUM,phase1 [seed 1],2,55,70,0.015,0.015,1,15,True,3.0,12,26,9,36,30,83.3,15.4,1.358,1.285,-0.417,3.08,1.5,2,36.041,4.3,116.08
MOMENTUM,phase1 [seed 1],2,55,0,0.01,0.02,1,15,True,3.0,12,26,9,36,29,80.6,13.73,1.304,1.802,-0.544,3.31,1.3,2,48.447,5.9,115.78
MOMENTUM,phase1 [seed 1],2,55,0,0.01,0.025,1,15,True,3.0,12,26,9,36,29,80.6,15.88,1.29,2.084,-0.544,3.83,1.3,2,56.632,6.7,115.65
MOMENTUM,phase1 [seed 1],3,65,70,0.02,0.02,1,15,True,3.0,12,26,9,37,30,81.1,26.27,1.217,1.319,-0.215,6.13,0.6,2,38.069,4.3,115.55
MOMENTUM,phase1 [seed 1],3,65,0,0.01,0.02,1,15,True,3.0,12,26,9,37,30,81.1,17.39,1.28,1.655,-0.408,4.06,1.3,2,46.783,5.3,115.54
MOMENTUM,phase1 [seed 1],2,55,75,0.01,0.02,1,15,True,3.0,12,26,9,36,29,80.6,13.1,1.27,1.719,-0.544,3.16,1.3,2,46.056,5.6,115.45
MOMENTUM,phase1 [seed 1],3,65,75,0.02,0.03,1,15,True,3.0,12,26,9,37,30,81.1,33.27,1.206,1.67,-0.215,7.76,0.6,2,48.602,5.7,115.44
MOMENTUM,phase1 [seed 1],2,55,0,0.02,0.015,1,15,True,3.0,12,26,9,36,30,83.3,13.98,1.34,1.4,-0.501,2.8,2.0,2,38.983,4.8,115.4
MOMENTUM,phase2 [seed 1],2,55,70,0.025,0.009999999999999998,1,15,True,3.0,12,26,9,37,35,94.6,50.0,2.715,0.965,-0.314,3.07,0.4,1,33.147,3.2,126.63
MOMENTUM,phase2 [seed 1],2,55,70,0.025,0.009999999999999998,1,20,True,3.0,12,26,9,37,35,94.6,50.0,2.715,0.965,-0.314,3.07,0.4,1,33.147,3.2,126.63
MOMENTUM,phase2 [seed 1],3,60,0,0.02,0.009999999999999998,2,15,True,3.0,8,21,9,30,29,96.7,50.0,3.43,0.967,-0.369,2.62,0.4,1,27.669,3.3,126.63
MOMENTUM,phase2 [seed 1],1,50,65,0.02,0.009999999999999998,2,15,True,3.0,8,21,9,49,46,93.9,33.22,2.469,0.986,-0.455,2.17,0.9,1,43.992,3.0,126.07
MOMENTUM,phase2 [seed 1],4,65,0,0.025,0.015,1,10,True,3.0,12,26,9,30,25,83.3,34.1,1.635,1.335,-0.196,6.82,0.4,1,32.398,4.3,122.98
MOMENTUM,phase2 [seed 1],2,65,75,0.025,0.009999999999999998,1,20,True,3.0,8,21,9,66,57,86.4,24.44,1.619,0.892,-0.231,3.86,0.4,1,48.742,3.0,122.74
MOMENTUM,phase2 [seed 1],4,70,80,0.009999999999999998,0.009999999999999998,1,20,True,3.0,12,26,9,33,28,84.8,14.57,1.421,0.915,-0.352,2.6,1.0,1,23.852,3.0,120.21
MOMENTUM,phase2 [seed 1],4,65,0,0.025,0.034999999999999996,1,10,True,3.0,12,26,9,30,25,83.3,48.51,1.354,1.9,-0.196,9.7,0.4,1,46.51,6.6,120.17
MOMENTUM,phase2 [seed 1],1,60,80,0.025,0.009999999999999998,2,20,True,3.0,12,26,9,67,62,92.5,15.18,1.487,0.945,-0.772,1.22,2.5,1,54.73,3.2,119.37
MOMENTUM,phase2 [seed 1],4,75,0,0.02,0.030000000000000002,1,20,True,3.0,12,26,9,37,30,81.1,50.0,1.273,1.922,-0.154,12.49,0.4,1,56.587,6.2,119.37
MOMENTUM,phase2 [seed 1],2,60,80,0.025,0.02,1,10,True,3.0,12,26,9,47,39,83.0,38.07,1.582,1.658,-0.212,7.81,0.5,2,62.97,5.4,119.29
MOMENTUM,phase2 [seed 1],4,70,0,0.025,0.034999999999999996,1,15,True,3.0,12,26,9,33,27,81.8,50.0,1.261,1.97,-0.176,11.16,0.4,1,52.126,6.7,119.24
MOMENTUM,phase2 [seed 1],1,55,80,0.025,0.009999999999999998,2,20,True,3.0,12,26,9,57,53,93.0,14.04,1.472,0.964,-0.91,1.06,2.5,1,47.47,3.2,119.22
MOMENTUM,phase2 [seed 1],4,65,70,0.025,0.02,1,15,True,3.0,12,26,9,30,25,83.3,32.69,1.255,1.28,-0.196,6.54,0.4,1,31.022,4.1,119.18
MOMENTUM,phase2 [seed 1],4,70,80,0.01,0.025,1,20,True,3.0,12,26,9,33,27,81.8,26.48,1.3,1.732,-0.294,5.89,1.0,1,44.994,5.4,119.0
MOMENTUM,phase2 [seed 1],2,55,65,0.02,0.009999999999999998,1,20,True,3.0,12,26,9,37,34,91.9,11.98,1.358,0.926,-0.876,1.06,2.0,1,28.854,3.1,118.58
MOMENTUM,phase2 [seed 1],1,65,0,0.025,0.009999999999999998,1,10,True,3.0,8,21,9,101,85,84.2,16.24,1.476,0.932,-0.305,3.06,0.9,2,74.378,2.8,117.82
MOMENTUM,phase2 [seed 1],4,70,0,0.009999999999999998,0.030000000000000002,2,10,True,3.0,12,26,9,33,27,81.8,14.93,1.134,1.894,-0.571,3.32,1.0,1,47.714,6.5,117.34
MOMENTUM,phase2 [seed 1],2,65,75,0.02,0.009999999999999998,1,15,True,3.0,8,21,9,66,56,84.8,12.21,1.228,0.89,-0.408,2.18,2.0,1,45.742,3.0,117.28
MOMENTUM,phase2 [seed 1],4,70,0,0.025,0.02,2,15,True,3.0,12,26,9,33,28,84.8,14.72,1.266,1.693,-0.644,2.63,2.5,1,44.177,5.4,117.16
MOMENTUM,phase2 [seed 1],4,70,75,0.015,0.024999999999999998,1,10,True,3.0,12,26,9,33,27,81.8,17.76,1.134,1.49,-0.378,3.95,1.5,1,37.97,4.8,116.84
MOMENTUM,phase2 [seed 1],3,75,75,0.025,0.009999999999999998,2,20,True,3.0,8,21,9,55,51,92.7,13.36,1.22,0.809,-0.772,1.05,2.5,1,38.161,2.7,116.7
MOMENTUM,phase2 [seed 1],4,75,65,0.009999999999999998,0.009999999999999998,2,20,True,3.0,12,26,9,37,32,86.5,9.53,1.038,0.725,-0.487,1.49,1.0,1,20.779,2.2,116.38
MOMENTUM,phase2 [seed 1],4,70,65,0.009999999999999998,0.015,1,20,True,3.0,12,26,9,33,27,81.8,13.74,1.006,0.898,-0.294,3.05,1.0,1,22.485,2.8,116.06
MOMENTUM,phase2 [seed 1],1,50,80,0.025,0.02,2,20,True,3.0,12,26,9,42,36,85.7,17.48,1.426,1.777,-0.61,2.91,2.5,2,60.3,6.3,115.76
MOMENTUM,validate [seed 1],2,55,70,0.025,0.009999999999999998,1,15,True,3.0,12,26,9,19,17,89.5,50.0,2.547,1.0,-0.124,8.05,0.2,1,16.752,3.1,0.0
MOMENTUM,validate [seed 1],2,55,70,0.025,0.009999999999999998,1,20,True,3.0,12,26,9,19,17,89.5,50.0,2.547,1.0,-0.124,8.05,0.2,1,16.752,3.1,0.0
MOMENTUM,validate [seed 1],3,60,0,0.02,0.009999999999999998,2,15,True,3.0,8,21,9,15,13,86.7,49.48,1.879,0.909,-0.119,7.61,0.2,1,11.577,3.3,0.0
MOMENTUM,validate [seed 1],1,50,65,0.02,0.009999999999999998,2,15,True,3.0,8,21,9,22,19,86.4,4.15,0.66,0.896,-1.369,0.65,2.0,1,12.922,3.3,0.0
MOMENTUM,validate [seed 1],4,65,0,0.025,0.015,1,10,True,3.0,12,26,9,18,15,83.3,30.33,1.59,1.327,-0.219,6.07,0.6,2,19.246,4.9,0.0
MOMENTUM,baseline [seed 2],2,65,75,0.015,0.03,1,15,False,3.0,12,26,9,408,210,51.5,3.71,0.408,1.087,-0.311,3.5,4.7,8,166.791,4.9,60.82
MOMENTUM,phase1 [seed 2],3,70,0,0.015,0.015,1,15,True,3.0,12,26,9,42,35,83.3,19.65,1.344,1.236,-0.315,3.93,0.6,2,41.071,4.3,116.86
MOMENTUM,phase1 [seed 2],3,70,0,0.02,0.015,1,15,True,3.0,12,26,9,42,35,83.3,19.65,1.344,1.236,-0.315,3.93,0.6,2,41.071,4.3,116.86
MOMENTUM,phase1 [seed 2],3,70,75,0.015,0.015,1,15,True,3.0,12,26,9,42,35,83.3,17.78,1.271,1.119,-0.315,3.56,0.6,2,36.961,4.0,116.13
MOMENTUM,phase1 [seed 2],3,70,75,0.02,0.015,1,15,True,3.0,12,26,9,42,35,83.3,17.78,1.271,1.119,-0.315,3.56,0.6,2,36.961,4.0,116.13
MOMENTUM,phase1 [seed 2],3,65,0,0.015,0.015,1,15,True,3.0,12,26,9,35,28,80.0,15.26,1.18,1.2,-0.315,3.82,0.6,2,31.411,4.2,115.21
MOMENTUM,phase1 [seed 2],3,65,0,0.02,0.015,1,15,True,3.0,12,26,9,35,28,80.0,15.26,1.18,1.2,-0.315,3.82,0.6,2,31.411,4.2,115.21
MOMENTUM,phase1 [seed 2],3,65,75,0.015,0.015,1,15,True,3.0,12,26,9,35,28,80.0,14.64,1.159,1.151,-0.315,3.66,0.6,2,30.035,4.1,115.0
MOMENTUM,phase1 [seed 2],3,65,75,0.02,0.015,1,15,True,3.0,12,26,9,35,28,80.0,14.64,1.159,1.151,-0.315,3.66,0.6,2,30.035,4.1,115.0
MOMENTUM,phase1 [seed 2],3,65,0,0.015,0.02,1,15,True,3.0,12,26,9,35,28,80.0,17.54,1.137,1.38,-0.315,4.39,0.6,2,36.431,5.1,114.79
MOMENTUM,phase1 [seed 2],3,65,0,0.02,0.02,1,15,True,3.0,12,26,9,35,28,80.0,17.54,1.137,1.38,-0.315,4.39,0.6,2,36.431,5.1,114.79
MOMENTUM,phase1 [seed 2],3,65,75,0.015,0.02,1,15,True,3.0,12,26,9,35,28,80.0,16.1,1.109,1.267,-0.315,4.03,0.6,2,33.265,4.5,114.5
MOMENTUM,phase1 [seed 2],3,65,75,0.02,0.02,1,15,True,3.0,12,26,9,35,28,80.0,16.1,1.109,1.267,-0.315,4.03,0.6,2,33.265,4.5,114.5
MOMENTUM,phase1 [seed 2],3,65,0,0.015,0.025,1,15,True,3.0,12,26,9,35,28,80.0,19.83,1.092,1.56,-0.315,4.96,0.6,2,41.481,5.5,114.34
MOMENTUM,phase1 [seed 2],3,65,0,0.02,0.025,1,15,True,3.0,12,26,9,35,28,80.0,19.83,1.092,1.56,-0.315,4.96,0.6,2,41.481,5.5,114.34
MOMENTUM,phase1 [seed 2],3,65,75,0.015,0.025,1,15,True,3.0,12,26,9,35,28,80.0,16.56,1.061,1.303,-0.315,4.14,0.6,2,34.268,4.7,114.02
MOMENTUM,phase1 [seed 2],3,65,75,0.02,0.025,1,15,True,3.0,12,26,9,35,28,80.0,16.56,1.061,1.303,-0.315,4.14,0.6,2,34.268,4.7,114.02
MOMENTUM,phase1 [seed 2],3,70,0,0.01,0.015,1,15,True,3.0,12,26,9,42,34,81.0,9.55,1.099,1.271,-0.566,2.25,1.0,2,38.684,4.3,113.99
MOMENTUM,phase1 [seed 2],3,65,0,0.015,0.03,1,15,True,3.0,12,26,9,35,28,80.0,21.54,1.051,1.694,-0.315,5.38,0.6,2,45.238,6.1,113.92
MOMENTUM,phase1 [seed 2],3,65,0,0.02,0.03,1,15,True,3.0,12,26,9,35,28,80.0,21.54,1.051,1.694,-0.315,5.38,0.6,2,45.238,6.1,113.92
MOMENTUM,phase1 [seed 2],3,65,70,0.015,0.015,1,15,True,3.0,12,26,9,35,28,80.0,12.36,1.046,0.972,-0.315,3.09,0.6,2,25.02,3.5,113.87
MOMENTUM,phase1 [seed 2],3,65,70,0.02,0.015,1,15,True,3.0,12,26,9,35,28,80.0,12.36,1.046,0.972,-0.315,3.09,0.6,2,25.02,3.5,113.87
MOMENTUM,phase1 [seed 2],3,70,70,0.015,0.015,1,15,True,3.0,12,26,9,42,35,83.3,13.52,1.029,0.851,-0.315,2.7,0.6,2,27.581,3.1,113.71
MOMENTUM,phase1 [seed 2],3,70,70,0.02,0.015,1,15,True,3.0,12,26,9,42,35,83.3,13.52,1.029,0.851,-0.315,2.7,0.6,2,27.581,3.1,113.71
MOMENTUM,phase1 [seed 2],3,65,75,0.015,0.03,1,15,True,3.0,12,26,9,35,28,80.0,17.18,1.025,1.352,-0.315,4.3,0.6,2,35.644,4.9,113.67
MOMENTUM,phase1 [seed 2],3,65,75,0.02,0.03,1,15,True,3.0,12,26,9,35,28,80.0,17.18,1.025,1.352,-0.315,4.3,0.6,2,35.644,4.9,113.67
MOMENTUM,phase2 [seed 2],3,65,80,0.02,0.009999999999999998,1,15,True,3.0,8,21,9,40,33,82.5,17.33,1.525,0.96,-0.261,3.68,0.6,2,29.843,3.2,118.67
MOMENTUM,phase2 [seed 2],3,70,75,0.02,0.009999999999999998,1,10,True,3.0,12,26,9,42,35,83.3,14.51,1.407,0.913,-0.315,2.9,0.6,2,29.765,3.2,117.48
MOMENTUM,phase2 [seed 2],3,75,75,0.025,0.009999999999999998,1,20,True,3.0,12,26,9,49,42,85.7,15.78,1.385,0.828,-0.315,2.63,0.6,2,32.554,2.9,117.26
MOMENTUM,phase2 [seed 2],3,70,0,0.025,0.015,1,20,True,3.0,12,26,9,42,35,83.3,19.65,1.344,1.236,-0.315,3.93,0.6,2,41.071,4.3,116.86
